"","PlantID","Seed","Observer","Date","Notes","Harvest","Block","Plot","Position","Warming","Mow","DT1","DT2","DT3","DT4","DT5","DT6","DT7","DT8","DT9","DT10","DT.Avg","SeedLength","SeedWidth","FieldDiameter","Diameter","Peduncle.","Emrg","eggCases","Cysts","goodSeed","badSeed","DateMowed","MaxHeightPostMow"
"80","10_2_2",8,"RMC","4/21/2016",NA,"7/31/2015",10,2,2,"A","E",2.28,2.25,NA,NA,NA,NA,NA,NA,NA,NA,2.27,15.37,18.42,48.26,31.06,"Y",0,0,0,115,100,"6/5/2015",62.5
"81","10_2_2",9,"RMC","4/21/2016",NA,"7/31/2015",10,2,2,"A","E",1.47,1.44,NA,NA,NA,NA,NA,NA,NA,NA,1.45,15.04,10.49,48.26,31.06,"Y",0,0,0,115,100,"6/5/2015",62.5
"82","10_2_2",9,"RMC","4/28/2016",NA,"7/31/2015",10,2,2,"A","E",1.86,1.78,NA,NA,NA,NA,NA,NA,NA,NA,1.82,16.25,13.26,46.34,32.87,"Y",0,0,0,98,140,"6/5/2015",62.5
"83","10_2_2",10,"RMC","4/21/2016",NA,"7/31/2015",10,2,2,"A","E",1.19,1.19,NA,NA,NA,NA,NA,NA,NA,NA,1.19,11.44,10.75,48.26,31.06,"Y",0,0,0,115,100,"6/5/2015",62.5
"84","10_2_2",10,"RMC","4/28/2016",NA,"7/31/2015",10,2,2,"A","E",1.84,1.85,NA,NA,NA,NA,NA,NA,NA,NA,1.85,17.17,12.1,46.34,32.87,"Y",0,0,0,98,140,"6/5/2015",62.5
"85","2_2_2",1,"RMC","1/28/2016",NA,"7/24/2015",2,2,2,"W","E",1.47,1.53,NA,NA,NA,NA,NA,NA,NA,NA,1.5,12.24,15.27,35.64,27.07,"Y",0,0,0,79,48,"6/5/2015",57.3
"86","2_2_2",1,"RMC","2/11/2016",NA,"7/24/2015",2,2,2,"W","E",2.06,2.13,NA,NA,NA,NA,NA,NA,NA,NA,2.1,13.93,19.13,44.55,31.12,"Y",0,0,0,101,56,"6/5/2015",57.3
"87","2_2_2",2,"RMC","1/28/2016",NA,"7/24/2015",2,2,2,"W","E",1.63,1.72,NA,NA,NA,NA,NA,NA,NA,NA,1.68,15.31,16.05,35.64,27.07,"Y",0,0,0,79,48,"6/5/2015",57.3
"88","2_2_2",2,"RMC","2/11/2016",NA,"7/24/2015",2,2,2,"W","E",1.81,1.84,NA,NA,NA,NA,NA,NA,NA,NA,1.83,14.92,17.01,44.55,31.12,"Y",0,0,0,101,56,"6/5/2015",57.3
"89","2_2_2",3,"RMC","1/28/2016",NA,"7/24/2015",2,2,2,"W","E",1.47,1.59,NA,NA,NA,NA,NA,NA,NA,NA,1.45,16.05,12.98,35.64,27.07,"Y",0,0,0,79,48,"6/5/2015",57.3
"90","2_2_2",3,"RMC","2/11/2016",NA,"7/24/2015",2,2,2,"W","E",1.81,1.78,NA,NA,NA,NA,NA,NA,NA,NA,1.8,14.38,17.07,44.55,31.12,"Y",0,0,0,101,56,"6/5/2015",57.3
"91","2_2_2",4,"RMC","1/28/2016",NA,"7/24/2015",2,2,2,"W","E",1.91,1.78,NA,NA,NA,NA,NA,NA,NA,NA,1.78,13.97,16.26,35.64,27.07,"Y",0,0,0,79,48,"6/5/2015",57.3
"92","2_2_2",4,"RMC","2/11/2016",NA,"7/24/2015",2,2,2,"W","E",2.15,2.1,NA,NA,NA,NA,NA,NA,NA,NA,2.13,15.06,20.33,44.55,31.12,"Y",0,0,0,101,56,"6/5/2015",57.3
"93","2_2_2",5,"RMC","1/28/2016",NA,"7/24/2015",2,2,2,"W","E",1.53,1.59,NA,NA,NA,NA,NA,NA,NA,NA,1.56,14.98,13.15,35.64,27.07,"Y",0,0,0,79,48,"6/5/2015",57.3
"94","2_2_2",5,"RMC","2/11/2016",NA,"7/24/2015",2,2,2,"W","E",2.28,2.18,NA,NA,NA,NA,NA,NA,NA,NA,2.23,16.27,20.66,44.55,31.12,"Y",0,0,0,101,56,"6/5/2015",57.3
"95","2_2_2",6,"RMC","1/28/2016",NA,"7/24/2015",2,2,2,"W","E",1.63,1.43,NA,NA,NA,NA,NA,NA,NA,NA,1.44,12.94,13.61,35.64,27.07,"Y",0,0,0,79,48,"6/5/2015",57.3
"96","2_2_2",6,"RMC","2/11/2016",NA,"7/24/2015",2,2,2,"W","E",2.37,2.31,NA,NA,NA,NA,NA,NA,NA,NA,2.34,13.11,20.54,44.55,31.12,"Y",0,0,0,101,56,"6/5/2015",57.3
"97","2_2_2",7,"RMC","1/28/2016",NA,"7/24/2015",2,2,2,"W","E",1.38,1.37,NA,NA,NA,NA,NA,NA,NA,NA,1.38,13.8,13.01,35.64,27.07,"Y",0,0,0,79,48,"6/5/2015",57.3
"98","2_2_2",7,"RMC","2/11/2016",NA,"7/24/2015",2,2,2,"W","E",2.31,2.28,NA,NA,NA,NA,NA,NA,NA,NA,2.3,14.61,19.4,44.55,31.12,"Y",0,0,0,101,56,"6/5/2015",57.3
"99","2_2_2",8,"RMC","1/28/2016",NA,"7/24/2015",2,2,2,"W","E",1.59,1.57,NA,NA,NA,NA,NA,NA,NA,NA,1.58,13.99,16.72,35.64,27.07,"Y",0,0,0,79,48,"6/5/2015",57.3
"100","2_2_2",8,"RMC","2/11/2016",NA,"7/24/2015",2,2,2,"W","E",1.85,1.91,NA,NA,NA,NA,NA,NA,NA,NA,1.88,13.36,18.13,44.55,31.12,"Y",0,0,0,101,56,"6/5/2015",57.3
"101","2_2_2",9,"RMC","1/28/2016",NA,"7/24/2015",2,2,2,"W","E",1.62,1.56,NA,NA,NA,NA,NA,NA,NA,NA,1.59,15.23,13.86,35.64,27.07,"Y",0,0,0,79,48,"6/5/2015",57.3
"102","2_2_2",9,"RMC","2/11/2016",NA,"7/24/2015",2,2,2,"W","E",2.13,2.15,NA,NA,NA,NA,NA,NA,NA,NA,2.14,14.77,18.64,44.55,31.12,"Y",0,0,0,101,56,"6/5/2015",57.3
"103","2_2_2",10,"RMC","1/28/2016",NA,"7/24/2015",2,2,2,"W","E",1.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,14.44,12.07,35.64,27.07,"Y",0,0,0,79,48,"6/5/2015",57.3
"104","2_2_2",10,"RMC","2/11/2016",NA,"7/24/2015",2,2,2,"W","E",2.31,2.41,NA,NA,NA,NA,NA,NA,NA,NA,2.36,15.18,16.42,44.55,31.12,"Y",0,0,0,101,56,"6/5/2015",57.3
"105","3_1_2",1,"RMC","10/5/2016",NA,"7/24/2015",3,1,2,"A","E",1.4,1.41,NA,NA,NA,NA,NA,NA,NA,NA,1.41,15.77,11.28,32.7,22.92,"Y",0,0,0,89,29,"6/12/2015",55.1
"106","3_1_2",1,"RMC","10/12/2016",NA,"7/24/2015",3,1,2,"A","E",1.5,1.44,NA,NA,NA,NA,NA,NA,NA,NA,1.47,16.68,13.61,40.47,30.45,"Y",0,0,0,102,32,"6/12/2015",55.1
"107","3_1_2",2,"RMC","10/5/2016",NA,"7/24/2015",3,1,2,"A","E",1.41,1.35,NA,NA,NA,NA,NA,NA,NA,NA,1.38,16.38,11.99,32.7,22.92,"Y",0,0,0,89,29,"6/12/2015",55.1
